Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
AMIDINOPROLINE,C6 H11 N3 O2,Full match,Not the top hit,No results,Full match,0.12,157.08515,3.11,201259300.4,48,,,,DDA for preferred ion,132463442.4,7609735.453,585062.9141,10486912.2,923743.5337,455071.0839,7407394.126,201259300.4,5287357.534,6146251.297,4487636.337,0,128,16,16,16,16,16,16,64,16,16,16,16
"3,4-Methylenedioxy-N-propylamphetamine",C13 H19 N O2,Full match,Invalid mass,No results,Full match,0.04,221.14159,15.912,197661146.6,2,,,,DDA for preferred ion,1680037.796,175017724.6,168735453.1,170952026.2,191748902.2,169838496.6,197661146.6,171044968.9,698637.0328,605922.6837,1768558.15,16,64,64,64,64,0,0,0,0,16,16,16,16
[Similar to: NP-015005; ΔMass: -440.3291 Da],C25 H40 N4 O18,Full match,Invalid mass,No results,No results,-1.97,684.23241,1.294,197497737,116,,,,DDA for preferred ion,178350390.6,8868271.328,11959858.73,52351575.1,189122170.1,197497737,620458.0178,11334361.26,47971939.79,3820931.031,43465382.43,0,128,128,128,32,0,0,128,128,128,128,128,32
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,17.24,194486219.4,40,73.9,70.8,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,DDA for preferred ion,777121.2662,757096.5716,1181498.064,165804598.9,1123813.319,978534.3407,965701.5111,921494.3883,194486219.4,927730.915,151041593.5,16,16,16,0,16,16,16,16,16,0,16,0,16
Hordenine,C10 H15 N O,Full match,Full match,No results,Not the top hit,0.18,165.11539,5.672,192665749.6,65,96.3,77.2,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,5546374.341,88917.9499,132601.7333,91311071.71,161979707.4,192665749.6,149679.0871,198620.6719,2171506.68,101396.0219,3204694.999,16,128,16,0,16,0,0,16,16,16,16,16,128
Lactamide,C3 H7 N O2,Full match,Full match,Partial match,Not the top hit,0.16,89.04769,1.093,191984064.6,3,98.6,9.9,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Other,DDA for preferred ion,147764258.6,136798901.5,123721801.8,59774526.92,154364535.5,180645989.5,89495362.42,191984064.6,37174004.93,163372184.5,23698726.98,0,0,128,0,128,0,0,0,128,0,128,128,16
AMIDINOPROLINE,C6 H11 N3 O2,Full match,Not the top hit,No results,Full match,0.12,157.08515,3.068,190707258.3,46,,,,DDA for preferred ion,10337463.65,1067433.076,619433.8663,4286158.274,341148.8164,474474.7632,4210204.686,6767329.136,190707258.3,184865152.3,176056740.4,16,16,16,16,16,16,16,16,16,0,0,0,16
"2-[(2R,4aR,8R,8aR)-8-hydroxy-4a,8-dimethyl-decahydronaphthalen-2-yl]prop-2-enoic acid",C15 H24 O3,Full match,Full match,Partial match,Partial match,-0.02,252.17254,17.53,190436627.4,16,99.8,10,Other,DDA for preferred ion,7407215.692,29268788.7,9123719.139,6892797.203,8198731.146,7445295.795,190436627.4,9780130.434,6442811.583,61652106.69,6440129.718,16,128,16,16,16,16,16,0,16,16,128,16,16
"DL-2,6-Diaminopimelic acid",C7 H14 N2 O4,Full match,Invalid mass,Full match,Full match,0.13,190.09538,1.292,188164646.6,1,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;D-Amino acid metabolism;Other,DDA for preferred ion,15779401.26,55890165.67,54196442.37,188164646.6,19690900.27,18131543.37,16765415.18,47120259.83,151763984.3,60405621.51,159232642.5,128,0,128,0,128,128,128,128,0,0,0,0,32
Penicillic acid,C8 H10 O4,No results,Invalid mass,No results,No results,-14,170.05553,2.56,187223351.8,30,82.8,9.1,,DDA for preferred ion,680010.8766,182788165.7,88275483.64,26392513.78,892542.8202,518109.4607,23216990.01,163265559.4,24412183.08,187223351.8,20506618.84,16,64,128,128,16,128,128,16,64,128,0,128,128
NP-012042,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.98,178.06303,19.199,184255244.7,55,65.6,66.6,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,1060892.692,839879.2383,694286.946,159244494.5,606536.3494,566113.0374,529906.5276,919064.3439,172056240.9,903003.8712,184255244.7,32,32,32,0,32,32,32,32,32,0,32,0,32
[Similar to: Trimethoprim impurity C; ΔMass: 188.0284 Da],C16 H26 N6 O12,Full match,Invalid mass,No results,No results,0.69,494.16121,2.645,182914205.8,4,,,,DDA for preferred ion,137578363.1,43032606.75,87606223.96,182914205.8,147917782.9,165453862.7,86782.02351,6162774.406,125136440,31866373.91,12118687.51,0,128,0,0,16,0,0,32,128,64,128,16,32
L-Aspartic acid,C4 H7 N O4,Full match,Full match,Full match,Full match,-0.08,133.0375,1.087,182573260.3,10,98.3,83.6,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other,DDA for preferred ion,89930455.73,111357160.4,73511368.29,46038825.4,99466067.06,113440195.5,94645360.12,182573260.3,38069840.87,116582337,33591081.31,128,0,128,128,128,0,0,128,0,128,128,0,32
3-Methyl-2-buten-1-amine,C5 H11 N,Full match,No results,No results,Full match,0.17,85.08916,3.908,181491511.3,0,,,"Protein digestion and absorption;Tropane, piperidine and pyridine alkaloid biosynthesis",DDA for preferred ion,96341828.4,6029048.206,7549807.203,1776857.264,2624703.508,12190583.35,3774874.722,181491511.3,480178.8058,3335337.454,424577.8221,0,16,16,16,16,16,16,16,0,16,16,16,16
Valylproline,C10 H18 N2 O3,Full match,Full match,Partial match,Full match,-0.05,214.13173,6.889,180031710.5,45,98.1,82.5,Metabolic pathways;Biosynthesis of cofactors;Other,DDA for preferred ion,64379057.23,55716972.69,48741047.25,116486204.1,56034433.04,73345100.78,2109504.456,180031710.5,85587714.16,2275491.694,1667114.092,128,128,128,128,16,128,128,16,0,128,16,16,32
NP-003553,C20 H34 O4,No match,Invalid mass,No results,No results,64988.03,360.22763,20.061,177230197.7,6,95.6,9.8,,DDA for preferred ion,1056387.556,593717.8656,177230197.7,1195968.061,1925460.948,1151379.794,832396.0349,62462671.92,739247.4954,1191229.571,683943.9057,16,32,0,16,128,16,16,32,0,16,128,16,16
,C4 H2 O8 S2,Full match,No results,No results,No results,-4.02,241.91813,0.967,177188440.8,0,,,,DDA for preferred ion,141246985.8,132947486.5,141516160,159242828.1,146080528.6,156174312.3,122374422.2,177188440.8,148583557.3,146741289,148113340.8,0,0,0,0,128,0,0,0,0,0,0,0,128
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Full match,1.61,202.04538,1.261,172034770.7,123,,,,DDA for preferred ion,1600095.89,110016584.3,131688495.4,70174103.46,172034770.7,149869939.7,98856960.78,80037953.36,25881841.18,107322504.1,12386579.51,32,0,0,16,128,16,16,0,0,16,0,16,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.48,526.15105,1.45,168634410.8,4,89.4,55.6,,DDA for preferred ion,113986910.1,40043851.35,54289292.2,45567927.74,168634410.8,165121369.6,4877382.844,5964184.928,83142084.55,5223109.127,52807525.72,0,128,128,16,16,0,128,16,16,16,16,16,32
Methionine,C5 H11 N O2 S,Full match,Full match,Full match,Full match,0.06,149.05106,2.202,168114024.6,107,97.6,90.2,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various plant secondary metabolites;Other,DDA for preferred ion,32253044.07,74305355.57,56519971.39,10793663.72,33004269.2,42927329.72,65649259.4,168114024.6,2209047.763,116777084.8,6813853.622,128,0,0,128,128,128,128,0,0,128,0,128,32
"[Similar to: 3-{[(1,5-Dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino]carbonyl}-2-pyrazinecarboxylic acid; ΔMass: 136.0723 Da]",C21 H31 N O12,Full match,Invalid mass,No results,No results,0.11,489.18468,7.649,167021415.8,1,,,,DDA for preferred ion,141446625,27887680.99,1028951.195,4372118.115,139024870.6,167021415.8,20289860.37,722420.736,265985.2851,35893265.28,234348.5829,0,128,128,128,32,0,0,128,16,16,128,16,32
[Similar to: NP-015005; ΔMass: -441.3129 Da],C25 H41 N5 O17,Full match,Invalid mass,No results,No results,-1.7,683.24858,1.441,166339528.9,115,,,,DDA for preferred ion,166339528.9,433303.3711,479394.0305,74050916.64,99027206.48,111939950.1,1961430.912,901163.538,62377213.88,1257338.765,64801035.86,0,16,16,0,16,0,0,128,16,64,16,64,32
Hordenine,C10 H15 N O,Full match,Full match,No results,Not the top hit,0.06,165.11537,5.619,166162918.7,64,95.3,74.6,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,166162918.7,66186.13826,125495.3224,243362.1068,1230056.865,3377566.906,105710.027,110467.6216,44032386.94,125430.4941,53710028.78,0,32,16,16,16,16,16,16,16,128,16,128,16
Beauvericin,C45 H57 N3 O9,No match,Invalid mass,No results,No results,21734.27,800.43631,20.704,165772634.8,2,97.4,89.8,,DDA for preferred ion,497478.559,359220.0078,65441244.55,219878.4038,219721.3265,224422.8176,455198.4257,165772634.8,236715.9502,550150.4397,235990.7366,16,16,0,32,128,32,32,16,0,32,128,32,32
"[Similar to: 4-[(1R,4R,6S,9S,13R,14R)-6-[(4-methoxy-6-methyl-5-{[3,4,5-trihydroxy-6-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxan-2-yl]oxy}oxan-2-yl)oxy]-9,13-dimethyl-17-oxotetracyclo[11.3.1.0Âa,Âaâ°.0â´,âa]heptadecan-14-yl]-2,5-dihydrofuran-2-one; ΔMass: -157.1658 Da]",C25 H41 N5 O17,Full match,Invalid mass,No results,No results,-1.73,683.24856,1.895,165476299.8,281,,,,DDA for preferred ion,128603545.2,1884674.72,1831480.089,70636215.63,132810976.9,165476299.8,1915048.497,3117540.437,56655096.02,5048551.757,34221607.12,0,16,16,128,16,0,0,16,128,16,16,128,32
NP-011220,C11 H18 N2 O2,Full match,Full match,No results,Partial match,-0.08,210.13681,11.528,164306708.1,6,99,98.4,,DDA for preferred ion,100239796.3,132082004.8,145836107.9,132949762.8,99481210.59,113309726.2,122546195.4,131986592.5,122833384.2,164306708.1,105505174.6,0,0,0,0,128,0,0,0,0,0,0,0,16
Acetyl-L-carnitine,C9 H17 N O4,Full match,Full match,No results,Full match,-0.31,203.11569,2.068,161539115.2,36,99.1,87.9,,DDA for preferred ion,715521.8554,452164.5922,473189.0291,161539115.2,1030523.468,1561060.845,271962.9984,715264.6552,6709078.711,790335.6772,4207748.701,128,128,128,0,16,128,128,128,128,16,128,16,16
[Similar to: Captopril ; ΔMass: 240.1023 Da],C17 H31 N O13,Full match,Invalid mass,No results,No results,0.07,457.17957,1.317,158063465.3,63,,,,DDA for preferred ion,157299669.2,1700973.712,3074943.205,15127856.28,141213390.9,158063465.3,373765.1626,5571420.889,10384583.64,1772725.72,8066621.474,0,128,128,128,32,0,0,16,128,128,128,128,32
NP-015114,C11 H19 N O6,No match,Invalid mass,No results,No match,84183.05,283.10322,6.787,156011904.3,6,96.7,9.8,,DDA for preferred ion,114311819.4,53912.54943,54745873.78,156011904.3,114519435.4,133478382.9,1064863.401,22246434.42,128097671.9,887721.4497,112117325.6,0,32,0,0,128,0,0,128,128,0,128,0,32
Glycerol 3-phosphate,C3 H9 O6 P,Full match,Invalid mass,Full match,Not the top hit,0.02,172.01368,1.179,155021980.8,48,,,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Other,DDA for preferred ion,13541119.58,34159893.31,88229166.35,10987349.95,10192815.02,14601457.63,67164831.57,155021980.8,8272609.69,59020248.97,6003899.27,128,0,0,128,128,128,128,0,0,128,0,128,32
"2-(14,15-Epoxyeicosatrienoyl) glycerol",C23 H38 O5,No match,Invalid mass,No results,No match,-45686.57,376.25899,20.986,154808211.7,3,92.4,9.6,,DDA for preferred ion,1631806.116,68535883.19,21085324.09,29323215.86,1036226.719,1178521.643,93157350.8,154808211.7,30260418.73,152537590.8,26894228.78,16,16,16,16,16,16,16,0,0,0,0,16,16
Pyrogallol,C6 H6 O3,Full match,Full match,No results,Not the top hit,-0.33,126.03165,7.082,154394443.4,55,94.6,72.5,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,5911121.154,911596.2642,1224024.006,624895.0144,123780032.8,154394443.4,1748609.093,1848366.46,2964229.98,445826.4863,2166719.933,16,128,16,128,16,0,0,16,16,16,128,16,16
α-Lapachone,C15 H14 O3,No match,Invalid mass,No results,No results,90782.61,264.07225,7.392,154081640.3,10,87.2,9.4,,DDA for preferred ion,144589220,90146717.06,55979554.16,57993239.58,142372929.4,154081640.3,90565204.33,91812761.63,43612298.44,103094948.6,36295545.32,0,0,128,128,128,0,0,0,0,128,0,128,16
Maltotetraose,C24 H42 O21,No match,Invalid mass,No results,No results,32995.3,688.20405,1.711,149057865.2,10,99.8,93.4,,DDA for preferred ion,136073715.9,1008841.215,1349974.259,74487742.05,145289451.1,149057865.2,3960097.183,1973982.093,19472086.01,1457636.794,53740028.13,0,128,128,16,32,0,0,16,16,16,128,16,32
[Similar to: RPH; ΔMass: -155.0695 Da],C11 H19 N5 O2,Full match,Invalid mass,No results,No results,0.07,253.15389,6.576,148605053.1,9,,,,DDA for preferred ion,7052810.695,1471655.184,1302655.903,148605053.1,125786371.3,132393450.2,1074528.738,1239586.096,3276863.731,58573.2649,3117210.743,16,128,128,0,128,0,0,128,128,16,32,16,16
[Similar to: N1-phenethyl-3-(2-thienyl)acrylamide; ΔMass: 0.0001 Da],C7 H11 N7 O4,Full match,Unused,No results,No results,1.13,257.08754,2.796,148404510.2,17,,,,DDA for preferred ion,206190.1134,24760358.19,27067178.66,18667202.21,669479.6119,344858.0402,76348491.8,148404510.2,6091089.106,48454761.8,848891.9435,32,128,128,128,128,16,32,0,64,128,128,16,32
(S)-malyl alpha-D-glucosaminide,C10 H17 N O9,Full match,Invalid mass,No results,Full match,0.22,295.0904,1.162,148388599.8,4,,,,DDA for preferred ion,122592239.5,71349450.09,57432440.37,144195146.5,134221038.2,148388599.8,42913144.03,56498596.13,137518571,82705487.23,112739450.7,0,128,128,0,128,0,64,128,128,0,128,0,32
[Similar to: RPH; ΔMass: -155.0695 Da],C11 H19 N5 O2,Full match,Invalid mass,No results,No results,-0.01,253.15387,6.536,148167037.8,9,,,,DDA for preferred ion,120200357.6,49660.34964,48239.56196,879935.5004,2799431.678,343507.6291,46074.27488,1311128.461,148167037.8,1648237.429,121122046.8,0,32,32,16,16,16,16,32,128,0,128,0,16
L-Alanyl-L-proline,C8 H14 N2 O3,Full match,Full match,No results,Full match,0.04,186.10045,2.758,145805579.5,42,97.5,80.7,,DDA for preferred ion,4834784.91,33672118.05,25108431.44,145805579.5,21842614.94,23547773.02,24157353.17,93669032.58,5535392.346,392822.9228,2424165.238,16,128,128,0,16,128,128,128,128,16,32,16,16
[Similar to: 2'-O-Methyladenosine; ΔMass: 0.0350 Da],C11 H23 N O7,Full match,Invalid mass,No results,No match,-0.12,281.14742,2.673,145371715.3,5,,,,DDA for preferred ion,51764107.65,1205254.967,36745422.76,2130592.212,2438774.835,7341649.643,85971.1062,4245408.344,116517938.8,36887289.72,145371715.3,128,16,128,16,128,16,16,32,128,0,128,0,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,43600.48,526.15105,1.42,145173307.6,12,93.2,67.2,,DDA for preferred ion,113986910.1,45492606.06,58485585.6,145173307.6,37747766.72,16376947.47,33146980.25,40549633.08,123401766.6,44104197.73,117795987.4,64,128,128,0,16,128,16,128,128,128,128,128,32
Pyrone,C5 H4 O2,Full match,Invalid mass,No results,Full match,-0.15,96.02111,1.315,142917353.9,168,,,Metabolic pathways;Microbial metabolism in diverse environments;Other,DDA for preferred ion,133525059.9,1832856.235,9479433.52,70703503.18,142917353.9,130937597.9,1612152.219,5562421.717,68615154.42,1381267.928,59784616.44,0,128,16,64,128,0,0,128,128,64,128,64,16
Hypoxanthine,C5 H4 N4 O,Full match,Full match,Partial match,Partial match,0.04,136.03852,3.075,140866726.7,54,99.7,98.9,Metabolic pathways;Other,DDA for preferred ion,4149886.741,4774799.009,1629955.371,380416.3543,120599944.1,140866726.7,8804316.262,46844055.67,430352.3796,407305.0589,291521.4017,16,128,128,32,16,128,0,128,128,16,16,32,32
6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,No match,Invalid mass,No results,No results,166382,266.05147,4.271,140723793.3,8,97,9.9,,DDA for preferred ion,140723793.3,414813.394,531378.6497,246228.286,1030832.416,11169131.49,806429.7291,5462980.24,36423797.93,48459810.91,30282655.09,0,16,16,16,16,16,16,16,16,128,128,128,32
"N-Acetyl-3,4,5,6-tetrahydroxynorleucine",C8 H15 N O7,Full match,Invalid mass,No results,Full match,0.09,237.08487,1.104,140468377.9,4,,,,DDA for preferred ion,82442448.9,33275000.47,26706100.19,130326132.2,81115119.34,107238446.2,14522390.78,30508312.3,140468377.9,40252375.92,110094590.7,64,128,128,0,128,64,64,128,128,0,128,64,32
,,No results,No results,No results,No results,,103.99597,0.847,140253631.2,0,,,,DDA for preferred ion,119735812.6,101569863.6,102140514,112624865.1,113793843,140253631.2,76545495.48,103498365.3,94702584.45,94985807.96,74863943.67,0,0,0,0,128,0,0,0,0,0,0,0,128
benzylidenemethylamine,C8 H9 N,Full match,Invalid mass,No results,Full match,-0.29,119.07347,6.847,139610629.6,197,,,,DDA for preferred ion,127814768.9,2328165.549,2121687.394,1795327.532,3516019.886,6677222.135,1770497.273,9179944.908,24537987.68,139610629.6,11446389.78,64,16,16,16,16,16,16,16,16,128,0,128,16
(3S)-3-(5-Methoxy-1H-benzimidazol-2-yl)-N-phenyl-1-pyrrolidinecarboxamide,C19 H20 N4 O2,No match,Invalid mass,No results,No match,17.64,336.16456,1.042,138402697.7,8,66.8,47.5,,DDA for preferred ion,63632347.7,107654560,96488961.46,59313083.76,60380381.72,70341243,73337999.9,138402697.7,45514158.14,121255080.1,44752343.14,0,64,64,128,128,0,0,64,0,128,64,128,32
[Similar to: Trimethoprim impurity C; ΔMass: 188.0284 Da],C16 H26 N6 O12,Full match,Invalid mass,No results,No results,0.63,494.16118,2.613,137578363.1,6,,,,DDA for preferred ion,137578363.1,2094652.107,2644935.082,7376376.58,11454160.08,8402249.405,79618.05716,6162774.406,125136440,31866373.91,111538897.3,64,16,16,16,16,16,16,32,128,0,128,0,32
D-Glucose 6-phosphate,C6 H13 O9 P,Full match,Full match,Not the top hit,Not the top hit,-0.03,260.02971,1.139,137397815.5,34,93.4,68,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,102978562.3,23251717.36,28698038.06,133680351.9,102337328.4,118090217,18581627.41,36295715.2,137397815.5,21996443.11,93139492.83,0,128,128,0,128,0,0,128,128,0,128,0,32
Meconin,C10 H10 O4,Full match,Full match,Partial match,Not the top hit,-0.16,194.05788,11.682,136933185.4,10,98.7,98.4,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,DDA for preferred ion,542300.1153,2498062.078,136933185.4,490637.4113,644051.4156,524561.4011,3225740.319,27059180.21,462208.4246,4523561.857,601240.4866,16,128,0,128,128,128,16,128,128,16,128,16,32
4-Guanidinobutyric acid,C5 H11 N3 O2,Full match,Full match,No results,Full match,0.13,145.08515,1.925,136613251.3,8,99.3,98,Metabolic pathways;Other,DDA for preferred ion,2689115.729,1190900.948,12123611.34,136613251.3,58781450.68,68047821.2,478035.1741,3545892.777,2452494.209,856471.3441,2041762.492,16,128,128,0,128,128,0,128,128,16,128,16,16
[Similar to: NP-015005; ΔMass: -441.3128 Da],C25 H41 N5 O17,Full match,Invalid mass,No results,No results,-1.52,683.2487,1.413,136180060.6,118,,,,DDA for preferred ion,136180060.6,2147792.027,2034126.579,74050916.64,133328290.6,21295254.48,1795493.273,1653139.37,62377213.88,2319612.728,64801035.86,128,128,128,64,16,128,16,128,128,0,128,0,32
Pyrogallol,C6 H6 O3,Full match,Full match,No results,Not the top hit,-0.36,126.03165,7.051,133420558.9,85,95,73.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,133420558.9,1192388.015,1183698.282,2082302.727,11466306.86,8569444.58,1701636.846,1861368.935,2915964.698,445826.4863,2191015.725,0,16,16,16,16,16,16,16,16,16,128,16,16
4-Phenylbutyric acid,C10 H12 O2,Full match,Full match,Partial match,Full match,0.2,164.08376,15.63,133341625.4,6,95.2,85,Metabolic pathways;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Degradation of aromatic compounds;Other,DDA for preferred ion,1704386.417,112698005.2,16819684.22,2183894.916,1361073.258,1407441.081,61565650.19,662251.6211,1211718.229,133341625.4,1465183.096,16,0,128,16,16,16,16,0,128,16,0,16,16
[Similar to: D-(+)-Glucose; ΔMass: 45.0579 Da],C8 H19 N O6,Full match,Invalid mass,No results,No results,0.05,225.12125,4.217,131874054.9,155,,,,DDA for preferred ion,6976685.892,56005634.53,131874054.9,14619908.85,7043471.604,428320.0911,47951.67552,14950999.85,10579978.11,1368467.024,296089.6012,128,128,0,128,128,128,16,32,128,128,16,16,32
"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Full match,Full match,No results,Partial match,0.2,402.16793,20.082,131548440.9,61,96.8,78.8,,DDA for preferred ion,275635.9804,351118.6194,298358.5693,131548440.9,259532.1705,292887.7498,300943.6845,240334.1887,60413319.85,287077.2279,59962301.18,32,32,32,0,32,32,32,32,32,0,32,0,32
Adipic acid,C6 H10 O4,Full match,Invalid mass,Partial match,Full match,-0.08,146.0579,1.176,131342348.1,81,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,DDA for preferred ion,3313108.084,112407652.1,80023827.49,3535632.023,2783941.81,3735736.623,115906047.3,131342348.1,4265285.557,120629328.8,3380688.225,128,0,0,128,128,128,128,0,128,128,0,16,16
"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",C21 H24 O7,Full match,Invalid mass,No results,Full match,0.22,388.15229,19.441,131196227.6,125,,,,DDA for preferred ion,410573.1469,423094.8256,450272.1992,106160839.2,397051.7963,402904.7674,402537.5212,386224.392,110694584.6,368422.7748,131196227.6,32,32,32,0,32,32,32,32,32,0,32,0,32
DL-α-AMINOSUBERIC ACID,C8 H15 N O4,Full match,Not the top hit,No results,Full match,0.04,189.10011,6.957,130470784.7,20,,,,DDA for preferred ion,405014.5545,703711.1186,755934.7098,6412510.013,329319.7383,397296.2549,442517.2478,1059223.858,130470784.7,1810771.49,81926349.15,16,16,16,16,16,16,16,16,128,64,128,0,16
N-Allyl-N'-(4-piperidinylmethyl)ethanediamide,C11 H19 N3 O2,Full match,Invalid mass,No results,Full match,0.05,225.14774,5.732,129875328.2,37,,,,DDA for preferred ion,7672862.87,52130995.31,22066895.56,123981978.5,105809636.7,129875328.2,22330881.91,20466443.55,4862012.409,3375182.607,4557851.086,16,0,128,0,128,0,0,128,128,16,16,16,16
"6,6-Diethoxy-N,N-diethyl-1-hexanamine",C14 H31 N O2,Full match,Invalid mass,No results,Full match,-0.02,245.23548,14.661,127569351.1,8,,,,DDA for preferred ion,2375501.676,2396630.634,1539897.807,709261.0508,128079.9663,1953494.294,2580167.965,1037121.308,127569351.1,124563203.9,126193083.6,16,16,16,16,16,32,16,16,16,0,0,0,16
methyl N-acetylneuraminate,C12 H21 N O9,Full match,Invalid mass,No results,Full match,0.09,323.12166,1.037,127293193.4,15,,,,DDA for preferred ion,120486167.5,766150.8428,8875263.81,19556272.69,127293193.4,126742111.6,748887.29,9345800.832,12719898.96,1512069.626,8757305.601,0,16,128,128,16,0,64,16,128,128,16,128,32
Hypoxanthine,C5 H4 N4 O,Full match,Full match,Partial match,Partial match,-0.01,136.03851,3.025,125753264.7,54,99.7,93.4,Metabolic pathways;Other,DDA for preferred ion,125753264.7,362485.0312,127042.9752,314271.231,1250250.113,2958894.045,380461.3946,46844055.67,330748.2673,6762454.078,334924.7846,0,16,32,16,32,16,16,16,128,32,128,16,32
2-Fluoro-6-(4-methoxyphenoxy)benzonitrile,C14 H10 F N O2,No match,Invalid mass,No match,No match,-90425.33,221.08991,1.345,125645899.1,16,96.2,9.8,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,2245001.621,37424284.34,38370880.85,20709116.72,2572512.276,1538113.476,103601150.5,125645899.1,19734401.52,57386532.92,10067079.27,16,128,64,128,128,16,128,0,0,128,0,128,32
N-Caffeoylputrescine,C13 H18 N2 O3,Full match,Invalid mass,No results,Full match,-0.17,250.1317,16.536,123140060.3,19,,,,DDA for preferred ion,149276.9296,141456.2235,123140060.3,170929.8625,463319.1298,150545.3388,137848.9947,22589380.4,127479.6353,136201.0161,133721.2785,32,32,0,128,128,128,32,32,128,32,32,32,32
